BAD,MORTDUE,VALUE,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,PD_model,LGD,EAD,K,RWA_IRB,Capital_IRB,Capital_check
1,90957.0,102600.0,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,0.9844190113542957,0.4,90957.0,0.0061769244771374245,7022.931495837359,561.8345196669887,561.8345196669887
1,23030.0,,,19.0,,,,,,3.7113123,0.015126634895429628,0.4,23030.0,0.052507201346806434,15115.510587711904,1209.2408470169523,1209.240847016952
1,28192.0,40150.0,Other,4.5,0.0,0.0,54.6,1.0,16.0,,0.23934793447630695,0.4,28192.0,0.18500900717302968,65197.17412777566,5215.7739302220525,5215.7739302220525
0,102370.0,120953.0,Office,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,0.08598238591782842,0.4,102370.0,0.13650566661395233,174676.06364087874,13974.085091270299,13974.0850912703
1,37626.0,46200.0,Other,3.0,0.0,1.0,122.2666667,1.0,14.0,,0.3291311029296295,0.4,37626.0,0.18572186752023082,87349.63734145256,6987.970987316205,6987.970987316205
1,50000.0,73395.0,ProfExe,5.0,1.0,0.0,,1.0,0.0,,0.28630071591481643,0.4,50000.0,0.186958524826566,116849.07801660376,9347.926241328301,9347.9262413283
1,28000.0,40800.0,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,0.20947358900384866,0.4,28000.0,0.18153080309335848,63535.78108267547,5082.862486614038,5082.862486614037
1,18000.0,,Mgr,22.0,,2.0,121.7333333,0.0,10.0,,0.46680790130214483,0.4,18000.0,0.16785273119036137,37766.86451783131,3021.349161426505,3021.3491614265045
1,,17180.0,Other,,0.0,0.0,14.56666667,3.0,4.0,,0.40207597758216257,0.4,0.0,0.1784913464525002,0.0,0.0,0.0
1,34863.0,47471.0,Mgr,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,0.22703244823154917,0.4,34863.0,0.18381150630032125,80102.75680185124,6408.220544148099,6408.2205441481
0,98449.0,117195.0,Office,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705,0.07417007721807932,0.4,98449.0,0.12782247740374472,157299.9384740158,12583.995077921265,12583.995077921265
1,15000.0,20200.0,,18.0,0.0,0.0,136.0666667,1.0,19.0,,0.14195940562105933,0.4,15000.0,0.16483457100871118,30906.482064133346,2472.518565130668,2472.518565130668
1,25116.0,36350.0,Other,10.0,1.0,2.0,276.9666667,0.0,9.0,,0.42121596439237546,0.4,25116.0,0.17571161730885673,55164.662254115574,4413.1729803292465,4413.172980329246
0,7229.0,44516.0,Self,,0.0,0.0,208.0,0.0,12.0,,0.17670432303309885,0.4,7229.0,0.17520010490335258,15831.5194793292,1266.521558346336,1266.5215583463357
0,71408.0,78600.0,ProfExe,8.0,0.0,0.0,255.7333333,0.0,12.0,,0.0819120228592765,0.4,71408.0,0.13365174139505157,119297.54436922303,9543.803549537843,9543.803549537843
1,50795.0,63100.0,Self,26.0,2.0,15.0,145.6333333,3.0,45.0,,0.999988050408718,0.4,50795.0,4.779019743672564e-06,3.0343788484980987,0.2427503078798479,0.2427503078798479
1,4000.0,60850.0,Other,16.0,4.0,0.0,112.6333333,2.0,9.0,,0.742974130272096,0.4,4000.0,0.09383777831833529,4691.888915916764,375.3511132733411,375.3511132733411
1,78600.0,113000.0,ProfExe,6.0,1.0,0.0,165.3333333,2.0,26.0,,0.20789288087053137,0.4,78600.0,0.18129012970731756,178117.55243743953,14249.404194995162,14249.40419499516
0,103949.0,112505.0,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629,0.07641541117362878,0.4,103949.0,0.1295700773030374,168358.49956966794,13468.679965573436,13468.679965573436
0,104373.0,120702.0,Office,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903,0.07307954374560821,0.4,104373.0,0.1269560361163839,165634.7794696917,13250.782357575337,13250.782357575337
1,7750.0,67996.0,Other,16.0,3.0,0.0,122.2046628,2.0,8.0,36.211348,0.6301643078012689,0.4,7750.0,0.12849397474710936,12447.853803626218,995.8283042900974,995.8283042900975
1,61962.0,70915.0,Mgr,2.0,0.0,0.0,282.8016592,3.0,37.0,49.20639579,0.14607134111215966,0.4,61962.0,0.16629374827377405,128798.66538174484,10303.893230539587,10303.893230539588
0,104570.0,121729.0,Office,2.0,0.0,0.0,85.8843719,0.0,14.0,32.05978327,0.08913600524678507,0.4,104570.0,0.13862450904277127,181199.56138253238,14495.96491060259,14495.964910602592
1,7000.0,20300.0,Other,3.0,0.0,0.0,50.8,5.0,9.0,,0.3933659825053593,0.4,7000.0,0.17964507445244945,15718.944014589326,1257.515521167146,1257.5155211671463
1,,8800.0,Other,2.0,0.0,1.0,77.76666667,0.0,3.0,,0.42002910393874543,0.4,0.0,0.17589343431035045,0.0,0.0,0.0
1,,33000.0,Other,1.0,0.0,1.0,23.3,1.0,2.0,,0.5403045356884449,0.4,0.0,0.15204753500088178,0.0,0.0,0.0
1,119826.0,193500.0,Other,8.0,0.0,0.0,130.0333585,0.0,27.0,,0.11808564015648458,0.4,119826.0,0.15488265758147468,231987.11659197233,18558.969327357787,18558.969327357787
1,20000.0,29750.0,Other,2.0,0.0,0.0,187.0666667,0.0,12.0,,0.1231417005597125,0.4,20000.0,0.15721802496877624,39304.50624219406,3144.360499375525,3144.360499375525
1,,14500.0,Other,3.0,0.0,0.0,9.3,14.0,2.0,,0.7622193923559222,0.4,0.0,0.08745939999573356,0.0,0.0,0.0
1,,14100.0,Other,1.0,0.0,0.0,104.2,0.0,19.0,,0.16428412962520708,0.4,0.0,0.1719799272541868,0.0,0.0,0.0
1,47000.0,82700.0,ProfExe,10.0,0.0,1.0,262.1666667,5.0,26.0,,0.20772273664359237,0.4,47000.0,0.18126386095232072,106492.51830948841,8519.401464759074,8519.401464759074
1,34542.0,45900.0,Mgr,8.5,0.0,2.0,62.36666667,0.0,10.0,,0.5770097658684177,0.4,34542.0,0.14292869372430883,61713.03673281344,4937.042938625075,4937.042938625075
0,58000.0,71500.0,Mgr,10.0,,2.0,211.9333333,0.0,25.0,,0.28341181627846185,0.4,58000.0,0.18694622655948318,135536.0142556253,10842.881140450025,10842.881140450025
0,47000.0,56400.0,Office,21.0,0.0,0.0,201.8666667,0.0,20.0,,0.04369898995964374,0.4,47000.0,0.09818666974719487,57684.66847647698,4614.773478118159,4614.773478118159
1,39589.0,36100.0,Other,1.5,0.0,0.0,153.1666667,1.0,14.0,,0.1580873138880623,0.4,39589.0,0.1701807701004784,84216.081343848,6737.28650750784,6737.28650750784
0,,70400.0,,,,,,,,,0.12287613667008887,0.4,0.0,0.1570986157876793,0.0,0.0,0.0
0,67848.0,74566.0,Mgr,10.0,,1.0,206.4266021,0.0,25.0,40.11567728,0.21005740321299088,0.4,67848.0,0.18161816025447577,154030.3617118209,12322.428936945673,12322.428936945673
1,48603.0,61000.0,ProfExe,28.0,0.0,4.0,122.0333333,1.0,25.0,,0.7726537267237176,0.4,48603.0,0.08395061680137338,51003.14785496437,4080.25182839715,4080.2518283971503
1,27200.0,40834.0,Other,,0.0,0.0,298.131564,0.0,7.0,35.55353879,0.07639232525712829,0.4,27200.0,0.12955235318177147,44047.8000818023,3523.824006544184,3523.8240065441837
1,54000.0,64850.0,Other,1.0,0.0,0.0,121.8666667,3.0,21.0,,0.2010899452226695,0.4,54000.0,0.18018375003258183,121624.03127199273,9729.922501759418,9729.922501759418
0,74864.0,87266.0,ProfExe,7.0,0.0,0.0,250.6312692,0.0,12.0,42.90999735,0.13820881597396137,0.4,74864.0,0.16344262557443803,152949.60901255909,12235.968721004727,12235.968721004729
1,23159.0,,Mgr,20.0,,2.0,117.8057478,0.0,9.0,0.5244992154,0.08172411293478146,0.4,23159.0,0.13351662132609993,38651.39291613935,3092.1114332911484,3092.1114332911484
1,126541.0,134527.0,Sales,9.0,1.0,0.0,139.0,0.0,36.0,,0.3541620914773168,0.4,126541.0,0.1838973533289933,290881.93734505173,23270.55498760414,23270.55498760414
1,130518.0,164317.0,Other,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919,0.9058612680431747,0.4,130518.0,0.03637034107104355,59337.30219888078,4746.984175910463,4746.984175910463
1,37000.0,52000.0,Office,2.0,0.0,1.0,183.2999156,0.0,6.0,,0.14970145416052702,0.4,37000.0,0.16752587418552142,77480.71681080366,6198.457344864292,6198.457344864292
1,23200.0,38666.0,Other,11.0,0.0,0.0,162.3666667,0.0,14.0,,0.12735870378851105,0.4,23200.0,0.15906743696927633,46129.556721090135,3690.364537687211,3690.364537687211
1,19400.0,20494.0,Other,5.0,0.0,0.0,95.93333333,0.0,9.0,,0.2016334825603517,0.4,19400.0,0.18027643369765284,43717.03517168081,3497.3628137344645,3497.362813734465
1,61584.0,61800.0,ProfExe,10.0,,,,,,,0.11997851330479224,0.4,61584.0,0.1557724416727682,119913.62559969697,9593.090047975758,9593.090047975758
1,41900.0,52490.0,Mgr,3.0,0.0,0.0,72.03333333,2.0,4.0,,0.29264904899729305,0.4,41900.0,0.1869404812699342,97910.07706512803,7832.806165210242,7832.806165210243
0,83700.0,111800.0,ProfExe,6.0,0.0,0.0,192.7333333,1.0,28.0,,0.09409392141151793,0.4,83700.0,0.14180221715021954,148360.5696934172,11868.845575473377,11868.845575473375
0,61327.0,76484.0,Mgr,9.0,,2.0,202.5107752,0.0,25.0,41.5163897,0.3987060578675903,0.4,61327.0,0.17894621721390325,137177.93328846307,10974.234663077046,10974.234663077044
0,100693.0,114743.0,Office,6.0,0.0,0.0,88.47045214,0.0,14.0,29.39354338,0.07248895837513457,0.4,100693.0,0.12648188079017283,159198.0002800609,12735.840022404871,12735.840022404873
1,48507.0,61000.0,Office,13.0,1.0,4.0,97.4,0.0,17.0,,0.8012595016126001,0.4,48507.0,0.07415670125309091,44963.98884604601,3597.1191076836812,3597.119107683681
0,52337.0,63989.0,Office,20.0,0.0,0.0,204.2724988,0.0,20.0,20.47091551,0.016682485145351113,0.4,52337.0,0.05586265911180027,36546.049874178636,2923.683989934291,2923.683989934291
1,17857.0,21144.0,Other,5.0,0.0,0.0,129.7173231,1.0,9.0,26.63434752,0.11859889583462364,0.4,17857.0,0.155125785286677,34626.01434830239,2770.0811478641913,2770.0811478641913
1,19135.0,97692.0,Mgr,1.6,1.0,6.0,252.6333333,1.0,25.0,,0.9405143851833871,0.4,19135.0,0.023234911118728132,5557.500303210784,444.60002425686275,444.6000242568628
0,51180.0,63459.0,Office,20.0,0.0,0.0,203.7515336,0.0,20.0,20.06704205,0.016285153001822806,0.4,51180.0,0.055020813260260426,35199.565283251606,2815.9652226601283,2815.965222660129
0,,73189.0,,,,,,,,22.25394916,0.055875716278864035,0.4,0.0,0.11154871039568547,0.0,0.0,0.0
0,11543.0,46045.0,Self,,0.0,0.0,204.6479917,0.0,11.0,42.17316588,0.2695201485861374,0.4,11543.0,0.18670063369168105,26938.567683788428,2155.085414703074,2155.0854147030745
1,29896.0,45960.0,Other,11.0,0.0,0.0,146.1232422,0.0,14.0,24.47888119,0.07322558884566288,0.4,29896.0,0.12707275237868362,47487.08756391407,3798.9670051131257,3798.9670051131257
1,14500.0,22092.0,Other,3.5,0.0,1.0,150.3,5.0,8.0,,0.4467416833146903,0.4,14500.0,0.1715150630645409,31087.105180448034,2486.968414435843,2486.968414435843
0,52825.0,63000.0,ProfExe,8.0,0.0,4.0,171.6666667,1.0,31.0,,0.7169890004129157,0.4,52825.0,0.10224950216109484,67516.62439574793,5401.3299516598345,5401.3299516598345
0,102143.0,118742.0,Office,2.0,0.0,0.0,85.27736558,0.0,13.0,29.34392109,0.07704054235790432,0.4,102143.0,0.13004812148012637,166043.81590430686,13283.50527234455,13283.505272344548
1,21200.0,39000.0,Mgr,4.0,0.0,1.0,86.56666667,2.0,14.0,,0.397375519860664,0.4,21200.0,0.1791228773716417,47467.56250348505,3797.4050002788044,3797.405000278804
0,105164.0,112774.0,Office,1.0,0.0,0.0,94.72487417,0.0,13.0,29.39092806,0.07384761296133423,0.4,105164.0,0.127567495567482,167693.85129823347,13415.508103858678,13415.508103858678
0,54543.0,61777.0,Office,21.0,0.0,0.0,205.58668,0.0,19.0,21.80656346,0.018396204955399776,0.4,54543.0,0.05938412525952988,40487.35430038173,3238.9883440305384,3238.9883440305384
1,,80609.0,Other,1.5,0.0,2.0,126.5333333,3.0,12.0,,0.5918867247238666,0.4,0.0,0.13902811933358647,0.0,0.0,0.0
1,26572.0,31960.0,Office,11.0,0.0,0.0,117.7951039,0.0,8.0,41.28649195,0.14102623814754991,0.4,26572.0,0.1644937731420845,54636.60674914336,4370.928539931469,4370.9285399314695
1,17000.0,52012.0,ProfExe,22.0,3.0,1.0,85.33333333,1.0,9.0,,0.7762591618336,0.4,17000.0,0.08273014711517819,17580.156261975364,1406.412500958029,1406.4125009580293
1,29562.0,37200.0,Other,6.0,0.0,0.0,92.13333333,1.0,26.0,,0.16554462355496713,0.4,29562.0,0.17232972418665282,63680.14133007289,5094.411306405831,5094.411306405831
1,41700.0,76725.0,Other,0.5,0.0,3.0,136.1333333,0.0,15.0,,0.6555932822198293,0.4,41700.0,0.12112660496205399,63137.24283647064,5050.979426917652,5050.979426917652
1,58000.0,69440.0,Other,3.5,0.0,1.0,168.6666667,0.0,18.0,,0.2290000439613256,0.4,58000.0,0.1840241763953575,133417.5278866342,10673.402230930737,10673.402230930735
1,5700.0,18000.0,Other,,0.0,0.0,12.2,0.0,17.0,,0.2538560324323943,0.4,5700.0,0.18603133097791164,13254.732332176205,1060.3785865740965,1060.3785865740963
1,45000.0,58350.0,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,,0.17360784628907736,0.4,45000.0,0.1744434479224362,98124.43945637038,7849.955156509631,7849.95515650963
1,7000.0,16020.0,Other,18.0,0.0,1.0,85.8,2.0,23.0,,0.33780299804977065,0.4,7000.0,0.1851746962562995,16202.785922426207,1296.2228737940966,1296.2228737940966
0,66000.0,79050.0,Other,1.8,2.0,0.0,279.0,1.0,6.0,,0.25697504399187676,0.4,66000.0,0.186199381941605,153614.49010182414,12289.159208145931,12289.159208145931
0,,45760.0,,0.0,0.0,0.0,,0.0,0.0,,0.16914203572455713,0.4,0.0,0.17329888658537237,0.0,0.0,0.0
0,62000.0,78000.0,Other,4.0,0.0,0.0,109.5666667,0.0,15.0,,0.1697600601819708,0.4,62000.0,0.17346110533202894,134432.35663232242,10754.588530585794,10754.588530585794
0,64240.0,63990.0,Sales,5.0,2.0,0.0,160.3,1.0,23.0,,0.5787759950162791,0.4,64240.0,0.1424715549360279,114404.65861363041,9152.372689090433,9152.372689090433
1,74000.0,93000.0,ProfExe,2.6,1.0,3.0,186.6333333,,9.0,,0.7651007113682836,0.4,74000.0,0.0864939850019396,80006.93612679411,6400.5548901435295,6400.55489014353
1,55000.0,59000.0,Other,12.0,2.0,0.0,146.1,0.0,22.0,,0.3004534552095954,0.4,55000.0,0.18683580119009852,128449.61331819271,10275.969065455418,10275.969065455418
0,67625.0,80698.0,Mgr,11.0,,1.0,212.3493039,0.0,25.0,39.12871763,0.19249708052364836,0.4,67625.0,0.17861596762971443,150986.31013699298,12078.904810959439,12078.904810959439
0,67533.0,71865.0,Mgr,10.0,,2.0,227.7929884,0.0,25.0,39.1663287,0.32569932530752727,0.4,67533.0,0.18591247066689465,156940.33601934247,12555.226881547398,12555.226881547396
1,,19132.0,Other,0.0,0.0,0.0,100.7746522,0.0,19.0,33.8409199,0.1584610539830611,0.4,0.0,0.170293099577152,0.0,0.0,0.0
1,58500.0,65000.0,Other,8.0,1.0,2.0,63.93333333,2.0,15.0,,0.7470102420935002,0.4,58500.0,0.09251032962855331,67648.1785408796,5411.854283270368,5411.854283270369
0,57992.0,63797.0,ProfExe,7.0,0.0,4.0,165.505037,1.0,31.0,22.27817437,0.5281828819146324,0.4,57992.0,0.1548909624114186,112280.45865203733,8982.436692162986,8982.436692162986
0,56544.0,59218.0,Office,19.0,0.0,0.0,211.0025991,1.0,20.0,19.02770443,0.016698368995715987,0.4,56544.0,0.05589610633788507,39507.367959617164,3160.589436769373,3160.589436769373
1,34800.0,50225.0,Other,2.0,1.0,0.0,93.5,1.0,5.0,,0.3704365121450921,0.4,34800.0,0.18232703296140085,79312.25933820936,6344.980747056749,6344.980747056749
0,67700.0,77000.0,Sales,4.0,0.0,0.0,128.8333333,0.0,31.0,,0.27318026345512464,0.4,67700.0,0.18679598722899934,158076.10419254072,12646.088335403258,12646.088335403256
0,44000.0,55085.0,,6.0,,1.0,75.43333333,,16.0,,0.37715076550388194,0.4,44000.0,0.18159679223243927,99878.2357278416,7990.258858227328,7990.258858227327
0,66272.0,82953.0,Other,3.0,0.0,0.0,110.2786626,0.0,15.0,43.45058791,0.26926222572153663,0.4,66272.0,0.18669306641548622,154656.5362185888,12372.522897487104,12372.522897487102
0,50216.0,58541.0,Office,19.0,0.0,0.0,209.8713022,0.0,19.0,20.20803267,0.016336859408606852,0.4,50216.0,0.05513093353303416,34605.68697868554,2768.454958294843,2768.4549582948434
0,71206.0,78698.0,Sales,3.0,0.0,0.0,129.932869,0.0,31.0,34.18137652,0.26404103347709174,0.4,71206.0,0.18651548076914964,166012.76654560087,13281.02132364807,13281.02132364807
0,68815.0,79852.0,Other,6.0,0.0,0.0,105.1207088,0.0,14.0,41.80637615,0.25391344704318547,0.4,68815.0,0.1860345852768833,160024.62482285904,12801.969985828724,12801.969985828724
0,72021.0,80027.0,Other,2.0,2.0,0.0,263.9703003,0.0,5.0,36.43209394,0.2734920766935044,0.4,72021.0,0.18680307931357665,168171.8071905388,13453.744575243103,13453.744575243103
0,53969.0,63869.0,ProfExe,7.0,0.0,3.0,162.3900107,0.0,30.0,23.58107924,0.33685595849530925,0.4,53969.0,0.18523894313569525,124964.5065261292,9997.160522090337,9997.160522090337
0,,60250.0,,,,,,,,,0.12287613667008887,0.4,0.0,0.1570986157876793,0.0,0.0,0.0
1,53091.0,64074.0,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,39.15808483,0.7184831154848761,0.4,53091.0,0.10177229560719879,67539.91182602238,5403.19294608179,5403.192946081791
0,66127.0,79087.0,Other,4.0,1.0,0.0,81.3490651,0.0,15.0,40.70530876,0.39291945344796475,0.4,66127.0,0.1797022782624514,148539.65693326405,11883.172554661125,11883.172554661123
0,,77182.0,,,,,,,,25.2272529,0.06760859173721832,0.4,0.0,0.1224257648806081,0.0,0.0,0.0
1,39000.0,66000.0,Other,1.0,0.0,0.0,170.3666667,1.0,19.0,,0.13177674105707662,0.4,39000.0,0.16091360737289673,78445.38359428715,6275.630687542973,6275.630687542973
0,71082.0,79247.0,Other,4.0,0.0,0.0,118.7604101,0.0,14.0,41.42111052,0.23665880110689766,0.4,71082.0,0.1847742524890812,164176.54269286088,13134.12341542887,13134.123415428869
0,,49044.0,,0.0,0.0,0.0,,0.0,0.0,11.6527388,0.040018992802793515,0.4,0.0,0.09362842536309307,0.0,0.0,0.0
1,57000.0,,Other,5.0,,,222.6,1.0,13.0,,0.11065667189166105,0.4,57000.0,0.15120284800901007,107732.02920641968,8618.562336513574,8618.562336513574
1,34184.0,46000.0,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,,0.308041475784724,0.4,34184.0,0.1866498603708787,79755.48533647646,6380.438826918116,6380.438826918117
1,66517.0,87000.0,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,,0.7282527651709502,0.4,66517.0,0.09863231165835301,82009.06843223334,6560.725474578668,6560.725474578668
0,45500.0,50000.0,Other,6.0,0.0,0.0,86.16666667,0.0,18.0,,0.17778150715221083,0.4,45500.0,0.17545639220878764,99790.82306874798,7983.265845499839,7983.265845499838
1,118000.0,146870.0,ProfExe,4.5,2.0,0.0,203.8666667,1.0,20.0,,0.2761788297530374,0.4,118000.0,0.18685755885525906,275614.8993115071,22049.19194492057,22049.19194492057
1,90000.0,105800.0,Other,6.0,2.0,3.0,80.1,3.0,10.0,,0.932304622089619,0.4,90000.0,0.026372984612837814,29669.60768944254,2373.568615155403,2373.568615155403
0,67913.0,97205.0,Mgr,2.0,0.0,0.0,142.8243915,0.0,24.0,35.22699719,0.11995663190858574,0.4,67913.0,0.15576226293969728,132228.53203779575,10578.28256302366,10578.28256302366
0,71855.0,88566.0,Other,2.0,2.0,0.0,283.9595381,0.0,5.0,36.47547328,0.2512086555379522,0.4,71855.0,0.185874652717266,166950.28963748936,13356.02317099915,13356.023170999148
0,53918.0,59511.0,,6.0,,0.0,54.13647743,,15.0,34.41650781,0.23654728090286392,0.4,53918.0,0.18476420080481995,124526.45223742852,9962.116178994282,9962.116178994282
1,49100.0,58238.0,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,,0.25622452247066674,0.4,49100.0,0.18616056348059998,114256.04583621824,9140.483666897459,9140.483666897459
0,88026.0,115506.0,ProfExe,6.0,0.0,0.0,182.2483316,0.0,27.0,29.20902258,0.06304537557141365,0.4,88026.0,0.1183962841010967,130274.39130353923,10421.951304283139,10421.951304283139
1,26900.0,45000.0,ProfExe,9.0,1.0,2.0,90.46666667,1.0,16.0,,0.6807090500885373,0.4,26900.0,0.11358260510920443,38192.15096796999,3055.3720774375993,3055.3720774375993
0,67317.0,97191.0,Mgr,3.0,0.0,0.0,137.3197248,0.0,23.0,34.27529378,0.11823461474550039,0.4,67317.0,0.1549533699896771,130387.45009493867,10430.996007595093,10430.996007595093
0,56067.0,63102.0,ProfExe,9.0,0.0,3.0,160.1463113,1.0,30.0,21.58376012,0.335873576469304,0.4,56067.0,0.18530443561589996,129868.2973959583,10389.463791676664,10389.463791676662
0,80482.0,88342.0,ProfExe,7.0,0.0,0.0,275.0323948,0.0,11.0,43.71763511,0.13051567258343155,0.4,80482.0,0.1603959381710215,161362.3236985019,12908.98589588015,12908.985895880152
0,58688.0,63348.0,ProfExe,9.0,0.0,3.0,179.1625747,2.0,31.0,22.54439284,0.3500191475028626,0.4,58688.0,0.1842502239230417,135165.9642699434,10813.277141595472,10813.27714159547
0,65873.0,90408.0,Mgr,2.0,0.0,0.0,141.858999,0.0,23.0,37.76961861,0.1430075547407682,0.4,65873.0,0.16521306264137087,136038.5009421878,10883.080075375023,10883.080075375023
1,25597.0,23031.0,Other,5.0,0.0,0.0,101.7467664,0.0,8.0,33.24315698,0.18264370054459958,0.4,25597.0,0.17656971313495107,56495.68683894178,4519.654947115342,4519.654947115342
0,67794.0,84630.0,Other,4.0,0.0,0.0,112.5734189,0.0,15.0,41.67399636,0.24229282092918486,0.4,67794.0,0.18524948007792785,156985.04065503803,12558.803252403042,12558.80325240304
1,44000.0,59745.0,Other,10.0,0.0,0.0,81.5,3.0,13.0,,0.26517042877713254,0.4,44000.0,0.1865578669074771,102606.8267991124,8208.546143928992,8208.546143928992
0,,28437.5,,,,,,,,,0.12287613667008887,0.4,0.0,0.1570986157876793,0.0,0.0,0.0
0,170986.0,245300.0,Sales,,0.0,0.0,131.9333333,0.0,22.0,,0.30763022250705013,0.4,170986.0,0.18666201339530253,398957.387780115,31916.5910224092,31916.591022409197
1,65576.0,65774.0,Other,6.0,1.0,2.0,61.64250608,1.0,14.0,40.59091002,0.8008115978448396,0.4,65576.0,0.07431196870095294,60913.520744171125,4873.08165953369,4873.08165953369
0,57461.0,68494.0,ProfExe,8.0,0.0,4.0,183.6356132,0.0,30.0,22.79542355,0.4811545731560872,0.4,57461.0,0.16505139826841306,118550.22994876602,9484.018395901281,9484.018395901283
0,,69706.0,,,,,,,,33.70558774,0.11457366085073845,0.4,0.0,0.15318111637039653,0.0,0.0,0.0
0,,34846.0,,,,,,,,33.35465263,0.11216407834837852,0.4,0.0,0.15197444283883615,0.0,0.0,0.0
0,47479.0,61690.0,,5.0,,0.0,65.03296901,,16.0,36.69941492,0.25044779444316667,0.4,47479.0,0.18582720867876082,110286.12551073605,8822.890040858883,8822.890040858885
0,66839.0,87168.0,Other,4.0,0.0,0.0,122.5972226,0.0,15.0,40.61677935,0.21897938693091726,0.4,66839.0,0.1828528143495486,152771.24072886846,12221.699258309478,12221.699258309478
0,12457.0,53448.0,Self,,0.0,0.0,207.1434813,0.0,12.0,44.10795169,0.2885257160502202,0.4,12457.0,0.18695919081900633,29111.883000404523,2328.950640032362,2328.9506400323617
0,90059.0,113714.0,ProfExe,7.0,0.0,0.0,193.6364469,0.0,28.0,25.89731648,0.04643768608283936,0.4,90059.0,0.10140892035909994,114159.82448275227,9132.785958620181,9132.785958620181
1,22320.0,34900.0,Other,10.0,0.0,0.0,65.7,1.0,5.0,,0.26746256890562387,0.4,22320.0,0.18663712700228652,52071.75843363794,4165.740674691035,4165.740674691035
1,40000.0,70500.0,Mgr,0.4,0.0,0.0,61.76666667,2.0,8.0,,0.28993665589591244,0.4,40000.0,0.18695568665154005,93477.84332577004,7478.227466061603,7478.227466061602
